Id;Area;Pregunta;Hallazgos;Por que bloquea;Que bloquea;Respuestas posibles;Respuesta;Responsable;Fecha
Q01;Contabilidad;¿Cuál es la columna correcta del segundo bloque de ajustes ballon: PRINCIPAL_FINAL o MONTOEXIGIBLECOM?;L10-001;El bloque está comentado como MONTOEXIGIBLECOM pero suma intereses, comisiones y moratorios al capital. Si la columna correcta es la otra, el capital reportado está inflado en todos los cierres con ajustes ballon.;Bloquea la Ola 2;"Es correcto como está: los accesorios ballon capitalizan. | Debe ir a MONTOEXIGIBLECOM; se requiere recálculo de los periodos afectados. | Requiere revisión conjunta con el desarrollador sobre datos de un periodo cerrado.";;;
Q02;Contabilidad;¿Cuál es el criterio único de crédito cancelado para el universo del cierre?;L10-005;El universo de créditos activos y los dos universos de saldos en cuentas de orden usan criterios distintos de FEC_CANCELACION, así que un mismo crédito puede entrar en un bloque y no en otro.;Bloquea la Ola 2;"FEC_CANCELACION nula o mayor a la fecha de corte. | FEC_CANCELACION nula únicamente. | Depende del tipo de saldo; contabilidad define la regla por bloque.";;;
Q03;Contabilidad;¿Cuál es el catálogo oficial de rubros del cierre, y para cada rubro: se materializa, en qué reporte participa y causa IVA?;L10-007, L2-017, L1-024;Hoy el generador materializa rubros por lista negra y los reportes los consumen por lista blanca: un rubro nuevo entra a la tabla y no aparece en ningún reporte, sin que nadie se enteré. Es el catálogo central del portal.;Bloquea la Ola 4 y el portal;Contabilidad entrega el catálogo con los tres atributos por rubro. | Se construye desde el código actual y contabilidad lo valida rubro por rubro. | Se requiere sesión de trabajo con contabilidad y el área de producto.;;;
Q04;Contabilidad;¿Cuál es la definición oficial de cartera sin restricción por COD_ORIGEN, y cuáles son las etiquetas de salida correctas?;L10-008;Dos reportes de cierre usan dos listas distintas de COD_ORIGEN para la misma definición, así que las dos cifras no cuadran entre sí y ambas se publican.;Bloquea la Ola 2;"Prevalece la lista del reporte diario. | Prevalece la lista del reporte general. | Ninguna es correcta; contabilidad entrega la lista vigente con su vigencia.";;;
Q05;Contabilidad;¿Cuál es la política de redondeo y la tolerancia de cuadre cargo-abono aceptable en la póliza?;L2-013;Los importes viajan en MONEY con redondeos intermedios a dos decimales en varios pasos. Sin una regla única, dos cálculos válidos dan cifras distintas por centavos y no hay criterio para decir cuál falla.;Bloquea la Ola 2;Redondeo únicamente al final del cálculo, tolerancia cero en el cuadre. | Redondeo por movimiento, con tolerancia definida por póliza. | Contabilidad define la regla y la tolerancia por tipo de póliza.;;;
Q06;Contabilidad;El cierre comercial lee 'otras comisiones' de la fecha fija '20260123': ¿las pólizas ya publicadas de otros periodos deben recalcularse y reexpresarse?;L1-001;"Corregir el código es trivial; la decisión de negocio es qué hacer con las cifras ya emitidas con el universo equivocado.";Bloquea la Ola 2;Se corrige a futuro sin reexpresar. | Se recalculan y reexpresan los periodos afectados. | Contabilidad evalúa la materialidad antes de decidir.;;;
Q07;Contabilidad;¿El reproceso de un periodo ya cerrado está permitido? ¿Quién lo autoriza y qué se espera del resultado: acumular o recalcular?;L1-006, L6-014;El diseño acumula ajustes por diseño, pero nada impide un segundo pase del mismo periodo y no existe marca de corrida. La respuesta define si el control es 'rechazar el segundo pase' o 'reproceso determinista'.;Bloquea la Ola 2 y la Ola 3;Nunca se reprocesa: el segundo pase se rechaza siempre. | Se reprocesa con autorización, y debe recalcular (no sumar sobre lo acumulado). | Se reprocesa libremente y la acumulación es el comportamiento esperado.;;;
Q08;Contabilidad;¿Cuáles son los valores vigentes, con su fecha de vigencia, de la tasa de IVA, la base de días del devengo, el umbral de avalúo de vivienda y las fechas del programa COVID?;L1-020, L10-025, L2-017;Son los primeros parámetros que se migran al catálogo del portal. Sin el valor oficial y su vigencia, la migración copiaría el literal actual sin saber si es el correcto.;Bloquea la Ola 4;Negocio y contabilidad entregan la tabla de valores con vigencias. | Se toman los valores del código como línea base y se validan uno por uno. | Se requiere confirmar con el área normativa.;;;
Q09;Negocio;¿Cuál es el porcentaje de participación del convenio vigente, desde cuándo, y debe conservarse el monto bruto además del participado?;L2-001;La participación está escrita como dos literales complementarios (0.10 y 0.90) en 28 archivos, y algunos procedimientos sobrescriben el monto bruto, con lo que el dato original se pierde.;Bloquea la Ola 4;El valor vigente es el que está en el código y no ha cambiado. | Hay más de un convenio y cada uno tiene su porcentaje. | El porcentaje cambia en el tiempo y requiere vigencia.;;;
Q10;Negocio;¿La cartera sindicada debe aplicar el tratamiento COVID y la separación balance/cuentas de orden de la etapa 3?;L2-007;La familia sindicada no lo aplica y sus hermanas sí. Hoy la diferencia solo existe en el código, sin documento que diga si es deliberada.;Ya en tu lista / bloquea la Ola 2;Es deliberada por la naturaleza del producto: se documenta y se cierra. | Es una deuda de la versión sindicada: hay que portar el tratamiento. | Aplica solo para una parte de los créditos sindicados.;;;
Q11;Negocio;¿Dos procesos distintos pueden compartir el mismo número de póliza?;L2-012;"Hay 74 números de póliza escritos uno por procedimiento y al menos uno reutilizado en dos procesos. Si no se permite, hoy existe un defecto; si se permite, el catálogo del portal necesita otra llave lógica.";Ya en tu lista / bloquea la Ola 4;No: el número es único por proceso y el caso actual es un defecto. | Sí: la póliza agrupa varios procesos por diseño. | Depende del tipo de póliza.;;;
Q12;Negocio;¿Cuáles de las divergencias entre los procedimientos hermanos comercial e individual son intencionales?;L2-008, L10-010;La misma operación está implementada dos veces con filtros, rubros y redondeos distintos. Antes de unificar hay que saber qué diferencia es una regla de producto y qué diferencia es un descuido.;Bloquea la Ola 2;Negocio revisa la matriz de divergencias y marca cada fila. | Todas las diferencias deben desaparecer: la regla es la misma. | Se resuelve caso por caso durante la remediación.;;;
Q13;Negocio;¿Cuál es el catálogo oficial de tipos de crédito, con la marca de en qué procesos participa cada uno, y qué debe pasar cuando aparece un tipo desconocido?;L2-018, L6-015;La clasificación está repetida en 37 listas distintas dentro de 104 archivos. El comportamiento ante un tipo nuevo hoy es silencioso: el crédito simplemente no entra al cálculo.;Bloquea la Ola 4;El tipo desconocido debe detener el cierre con error explícito. | Debe registrarse como excepción y continuar. | Debe tomar un tratamiento por omisión definido por negocio.;;;
Q14;Negocio;¿Quién es el dueño de cada catálogo y quién autoriza el alta de un rubro o concepto nuevo, con qué tiempo de respuesta?;L1-024, L2-017, portal M1-M3;Es la pregunta que define el portal: hoy un concepto nuevo es un cambio de código. El flujo de cuatro ojos necesita nombres de roles, no de personas.;Bloquea el portal;Un solo dueño por catálogo, con aprobador distinto del capturista. | Dueño por familia de póliza. | Se requiere definir la matriz de responsabilidades.;;;
Q15;Negocio;El reporte a Afirme deja la comisión de administración en cero por un literal de rubro mal escrito: ¿el área receptora lo ha detectado y hay que reemitir los reportes ya enviados?;L6-007;El defecto es de una línea, pero la información salió de la institución con un concepto en cero.;Bloquea la Ola 2;Se corrige a futuro sin reemitir. | Hay que reemitir los periodos afectados. | Se escala al área que administra el convenio.;;;
Q16;Negocio;¿Cuál es la salida autoritativa cuando dos artefactos publican la misma cifra: reporte diario o general, y qué variante del reporte de póliza contable es la oficial?;L10-010, L12-005, L12-008;Existen pares de reportes que ejecutan el mismo procedimiento con filtros fijos distintos. Ambas cifras circulan y no hay definición de cuál manda.;Bloquea la Ola 6;Negocio designa la oficial y la otra se retira. | Ambas son válidas para audiencias distintas: se renombran y documentan. | Se requiere comparar cifras antes de decidir.;;;
Q17;Negocio;¿Cómo debe tratarse el tipo de crédito 8 en los estados de cuenta? El pendiente está escrito como comentario en el código desde 2024.;lote 6, pendientes no técnicos;El código declara explícitamente que falta definir el tratamiento y sigue sin resolverse, así que hoy los créditos de ese tipo reciben el tratamiento por omisión sin que nadie lo haya autorizado.;Bloquea la Ola 4;Recibe el mismo tratamiento que el tipo equivalente vigente. | Requiere reglas propias que negocio debe definir. | El tipo ya no se opera y puede retirarse del catálogo.;;;
Q18;Riesgos;¿El canal minorista o comercial puede seguir derivándose de TIP_TASA='F' para efectos de reporte regulatorio?;lote 6, pendientes no técnicos;Es una inferencia: se usa el tipo de tasa como proxy del canal. Si el regulador exige el canal real, la cifra reportada se sostiene en una equivalencia no documentada.;Ya en tu lista / bloquea la Ola 2;Sí, la equivalencia es válida y se documenta. | No: se requiere el atributo de canal real en la fuente. | Riesgos debe validarlo con el área normativa.;;;
