objeto,tipo,estado,lineas,en_prod,invocadores,reportes,creacion,modificacion,escribe,motivo
CIERRE.SP_CASTIGO_INI_RPT,StoredProcedure,Ausente del export (indeterminado),273,no,0,0,,,no,no esta en el export de BD_prod y sin ninguna evidencia de uso en el repositorio; hay que verificarlo contra los metadatos de la instancia
CIERRE.SP_CMR_DIA,StoredProcedure,Ausente del export (indeterminado),393,no,0,0,20250521,,si,no esta en el export de BD_prod y sin ninguna evidencia de uso en el repositorio; hay que verificarlo contra los metadatos de la instancia
CIERRE.SP_CMR_DIA_VIS,StoredProcedure,Ausente del export (indeterminado),75,no,0,0,202500521,,no,no esta en el export de BD_prod y sin ninguna evidencia de uso en el repositorio; hay que verificarlo contra los metadatos de la instancia
CIERRE.SP_CMR_GEN_DIA,StoredProcedure,Ausente del export (indeterminado),515,no,0,0,20250424,,si,no esta en el export de BD_prod y sin ninguna evidencia de uso en el repositorio; hay que verificarlo contra los metadatos de la instancia
CIERRE.SP_CMR_GEN_DIA_CARTERA_VIS,StoredProcedure,Ausente del export (indeterminado),123,no,0,0,20250526,,no,no esta en el export de BD_prod y sin ninguna evidencia de uso en el repositorio; hay que verificarlo contra los metadatos de la instancia
CIERRE.SP_CMR_GEN_DIA_CONTABILIDAD_VIS,StoredProcedure,Ausente del export (indeterminado),135,no,0,0,20250526,,no,no esta en el export de BD_prod y sin ninguna evidencia de uso en el repositorio; hay que verificarlo contra los metadatos de la instancia
CIERRE.SP_CMR_GEN_DIA_CONTROL_VIS,StoredProcedure,Ausente del export (indeterminado),112,no,0,0,20250526,,no,no esta en el export de BD_prod y sin ninguna evidencia de uso en el repositorio; hay que verificarlo contra los metadatos de la instancia
CIERRE.SP_CMR_GEN_DIA_FINANZAS_VIS,StoredProcedure,Ausente del export (indeterminado),123,no,0,0,20250526,,no,no esta en el export de BD_prod y sin ninguna evidencia de uso en el repositorio; hay que verificarlo contra los metadatos de la instancia
CIERRE.SP_CMR_GEN_DIA_RIESGOS_VIS,StoredProcedure,Ausente del export (indeterminado),140,no,0,0,20250526,,no,no esta en el export de BD_prod y sin ninguna evidencia de uso en el repositorio; hay que verificarlo contra los metadatos de la instancia
CIERRE.SP_IND_GEN_MES,StoredProcedure,Ausente del export (indeterminado),1303,no,0,0,,,si,no esta en el export de BD_prod y sin ninguna evidencia de uso en el repositorio; hay que verificarlo contra los metadatos de la instancia
