Id;Area;Pregunta;Estado;Respuesta del cliente;Lectura;Accion;Responsable;Fecha compromiso
Q01;Contabilidad;Columna correcta del segundo bloque de ajustes ballon: PRINCIPAL_FINAL o MONTOEXIGIBLECOM;Sin respuesta;;Es el hallazgo contable de mayor impacto que sigue abierto y está dentro del alcance (CIERRE.SP_IND_GEN_MES). Sin esta definición no se puede cerrar la revisión del cierre individual.;Insistir. Es de las cinco que valen la reunión personal.;;
Q02;Contabilidad;Criterio único de crédito cancelado para el universo del cierre;Cerrada;Únicamente para el cierre: FEC_CANCELACION nula o mayor a la fecha de corte.;Queda una regla única y comprobable. El código usa criterios distintos según el procedimiento, así que la respuesta convierte esas variantes en defecto, no en decisión pendiente.;Unificar el predicado en la familia de cierre y dejarlo como control de la prueba de equivalencia. No es parametrizable: es regla fija.;;
Q03;Contabilidad;Catálogo oficial de rubros del cierre: se materializa, en qué reporte participa, causa IVA;Cerrada a medias;"La tabla es [Quiero_Confianza].[PR].[PR_RUBRO]; es la que controla los rubros desde SAF y lo ideal es que al agregar uno ahí exista la ventana de configuración para que la póliza lo tome.";La fuente queda identificada, pero la petición no se resuelve sólo con una ventana de configuración: hoy cada rubro está escrito además como columna de salida. El rubro es un catálogo espejo con banderas, no una bandera del tipo de cartera.;Diseñar el espejo PR_RUBRO + banderas por rubro y, en paralelo, cambiar la forma del cierre para que las columnas por rubro dejen de estar escritas una por una (ver la sección de hallazgos).;;
Q04;Contabilidad;Definición oficial de cartera sin restricción por COD_ORIGEN y etiquetas de salida;Cerrada a medias;"La tabla es Quiero_Confianza_shadow.PR.PR_ORIGEN_FONDOS; es la que controla el cedido desde SAF y debería tener ventana de configuración.";Confirma que el origen de fondos es catálogo externo y que la clasificación restringido / no restringido es una propiedad de ese catálogo: hoy vive como lista literal en el cierre comercial. La respuesta cita la base shadow, que es justamente el objeto del hallazgo de drift.;Espejo de PR_ORIGEN_FONDOS con bandera ES_NO_RESTRINGIDO por origen, y resolver primero el sinónimo por ambiente (Fase 1) para no consolidar la referencia a shadow.;;
Q05;Contabilidad;Política de redondeo y tolerancia de cuadre cargo-abono;Cerrada;Los cálculos se hacen con los decimales del campo y sólo el resultado final va a dos decimales.;Regla clara y verificable. No define tolerancia de descuadre, pero con redondeo sólo al final la tolerancia esperada es cero y cualquier diferencia es defecto.;Usarla como criterio de aceptación de la prueba de equivalencia: delta exacto de cero, sin banda de tolerancia. Confirmar en la reunión que cero es la expectativa.;;
Q06;Contabilidad;El cierre comercial lee 'otras comisiones' de la fecha fija '20260123';Cerrada a medias;Ya no debe estar en código lo que se indica.;El cliente reconoce el defecto y afirma que fue corregido, pero la fecha sigue presente en el archivo que tenemos de producción. Es evidencia de que el repositorio auditado no refleja lo que corre hoy, que es exactamente el riesgo R1.;No cerrarla por declaración: verificarla en la Fase 0 comparando el texto del objeto contra la instancia. Si allá ya no está, el hallazgo se cierra y el drift queda demostrado con un caso concreto.;;
Q07;Contabilidad;Reproceso de un periodo ya cerrado: permitido, quién autoriza, acumular o recalcular;Cerrada;"Nunca se reprocesa un periodo cerrado; si por intermitencia no se generó la póliza, se reprocesa en un ambiente controlado con un respaldo a la fecha requerida, se procesa como primera vez y el resultado se migra a producción.";"Queda claro y además explica por qué la idempotencia no era el problema real: el reproceso no ocurre en producción. Lo que sí falta es que ese ambiente controlado use la configuración vigente en la fecha reprocesada, no la de hoy; con parámetros en catálogo, un respaldo de datos con configuración actual daría una cifra distinta a la original.";"Incorporar al diseño el sello de configuración por corrida y la consulta ""cómo estaba configurado el día X"". Es la respuesta que más valor agrega al portal.";;
Q08;Contabilidad;Valores vigentes y su fecha de vigencia: IVA, base de días, umbral de avalúo, fechas COVID;Cerrada;"Las constantes que están en código son las correctas actualmente. Conviene revisar la factibilidad de que se tomen de un catálogo y sean dinámicas, cuidando que los cambios no afecten fechas anteriores; hoy la póliza no maneja histórico de estos valores.";"Da la línea base para sembrar el catálogo sin cambiar ninguna cifra, y confirma el requisito duro: un cambio no puede alterar lo ya publicado. Eso se resuelve resolviendo el parámetro por fecha de proceso y no por ""vigente hoy"".";Sembrar cada constante con vigencia desde el origen del histórico y exigir que el cierre pida el valor con la fecha del periodo. Sí es factible ver el pasado: ver la sección Q08 ampliada.;;
Q09;Negocio;Porcentaje de participación del convenio vigente, desde cuándo, y si se conserva el bruto;Cerrada;"No hay valor fijo y puede cambiar; lo ideal es configurarlo a la llegada de un cedido, incluso con la opción ""no establecido"" porque a veces depende del sistema del cliente que lo fija cada mes. De referencia: Afirme 90/10, administrada 100/0, sindicada variable.";"La respuesta corta que anotaste es correcta y además agrega dos requisitos que no teníamos: la participación es por convenio y por periodo, y existe un estado ""no establecido"" que hoy no existe en el código, donde 0.10 / 0.90 está escrito en 28 archivos.";Tabla de participación por convenio con vigencia mensual y estado pendiente de captura que bloquee el cierre de ese convenio en lugar de calcular con un valor equivocado. Conservar bruto y participado por separado.;;
Q10;Negocio;La cartera sindicada debe aplicar COVID y la separación balance / cuentas de orden de etapa 3;Sin respuesta;;Sigue dentro del alcance: es cierre comercial. Es una de las que más divergencia explica entre procedimientos hermanos.;Insistir en la reunión, junto con Q01.;;
Q11;Negocio;Dos procesos distintos pueden compartir el mismo número de póliza;Cerrada;No: es regla de programación, cada proceso debe tener una póliza específica.;Confirma tu lectura y convierte el caso detectado en defecto de código, no en decisión de negocio.;Entra a la limpieza general con una restricción de unicidad proceso - número de póliza, y como validación de salud en el portal.;;
Q12;Negocio;Cuáles divergencias entre los procedimientos hermanos comercial e individual son intencionales;Repreguntar;No hay diferencia ni descuido: así es la operativa y funcionamiento de cada cartera.;"La respuesta es defendible como principio pero no resuelve nada operativamente: la pregunta era por divergencias puntuales y la respuesta es general. Hay diferencias que no son de operativa sino de escritura, como un literal de rubro distinto entre hermanos o un filtro comentado en uno y activo en el otro; esas no pueden ser intencionales.";Repreguntar caso por caso con la diferencia enfrente, no en abstracto. Redacción propuesta abajo.;;
Q13;Negocio;Catálogo oficial de tipos de crédito, en qué procesos participa cada uno, qué pasa con uno desconocido;Cerrada;Si se refiere a NUM_DESC_TIPO_CREDITO, está en [Quiero_Confianza].[PR].[PR_DESC_TIPOS_CREDITO], y el nombre correcto es tipo de cartera.;"Dato de alto valor y con dos consecuencias directas: la fuente autoritativa es la tabla de SAF y no PO.SAF_CAT_DESC_TIPO, que es la copia local que sembró la demo; y el vocabulario del portal debe decir tipo de cartera. No responde qué hacer con un tipo desconocido, que es el hueco de los tipos 23, 24, 25, 27, 28 y 29.";Cambiar la fuente y el nombre en el diseño y en la demo. Mantener abierta la parte de tipo desconocido: es la que justifica la validación de salud.;;
Q14;Negocio;Dueño de cada catálogo y quién autoriza el alta de un rubro o concepto nuevo;Cerrada;El dueño de los catálogos es el área de cartera y ellos autorizan.;Un solo dueño simplifica el modelo de roles: no hacen falta aprobadores por familia. No define tiempo de respuesta, que es lo que sostiene el compromiso de servicio del proceso.;Un rol aprobador único llamado Cartera (dueño de catálogos) en lugar de Aprobador de contabilidad, y preguntar sólo el tiempo de respuesta comprometido.;;
Q15;Negocio;El reporte a Afirme deja la comisión de administración en cero por un literal de rubro mal escrito;Sin respuesta;;Sigue en alcance y es dinero: si el literal no empata, la columna sale en cero. La auditoría ya encontró el mismo patrón con 'OPI VALOR' y 'OPI_VALOR' conviviendo en el mismo procesamiento.;Insistir. Es la evidencia más fácil de entender del valor del catálogo.;;
Q16;Negocio;Salida autoritativa cuando dos artefactos publican la misma cifra;Repreguntar;"Todos los reportes son independientes; lo que indican son características propias de cada reporte.";No responde la pregunta. La duda no es si los reportes son independientes sino qué hacer cuando dos reportes que se presentan como la misma cifra no coinciden, porque hoy hay dos variantes del reporte de póliza contable con lógica distinta. Independientes y contradictorios no pueden ser ambos correctos si alguien los compara.;Repreguntar con las dos cifras concretas enfrente. Redacción propuesta abajo.;;
Q17;Negocio;Tratamiento del tipo de crédito 8 en los estados de cuenta;Fuera de alcance;Para póliza por ahora no se trabajará estados de cuenta.;Correcto, y coincide con tu lectura: el esquema edc queda fuera del alcance productivo declarado.;Baja prioridad. Se conserva documentada por si el alcance vuelve a abrirse.;;
Q18;Riesgos;El canal minorista o comercial puede seguir derivándose de TIP_TASA='F';Fuera de alcance;Para póliza ahorita no se trabajarán regulatorios.;De acuerdo, con un matiz: el filtro por TIP_TASA sigue vivo dentro del cierre comercial, así que lo que sale del alcance es la validación regulatoria, no el hardcodeo. Ese sigue en la lista técnica.;"Baja prioridad como pregunta de negocio; el valor literal permanece en el inventario de hardcodeo.";;
